datetime,channel_loss,iter,time_of_generation,secure_key_length,phi,qber,mu_1,mu_2,secure_key_rate
2025-09-08T14:05:47.919,12.7,7344,738.5000,2535085,0.0204,0.0151000000000000,0.0684,0.0351,3432.7488
2025-09-08T14:17:58.150,12.7,7345,730.0000,2586020,0.0172,0.0156000000000000,0.0624,0.0312,3542.4932
2025-09-08T14:30:14.917,12.7,7346,735.9000,2619692,0.0160,0.0155000000000000,0.0627,0.0314,3559.8478
2025-09-08T14:41:09.663,12.7,7347,654.7000,2571017,0.0183,0.0150000000000000,0.0677,0.0347,3927.0154
2025-09-08T14:55:59.468,12.7,7348,891.0000,2569719,0.0185,0.0150000000000000,0.0688,0.0354,2884.0842
2025-09-08T15:08:01.292,12.7,7349,722.0000,2613029,0.0164,0.0151000000000000,0.0677,0.0348,3619.1537
2025-09-08T15:19:42.819,12.7,7350,702.2000,2656207,0.0136,0.0157000000000000,0.0610,0.0303,3782.693
2025-09-08T15:32:02.143,12.7,7351,737.5000,2626672,0.0153,0.0157000000000000,0.0615,0.0305,3561.5892
2025-09-08T15:44:14.650,12.7,7352,734.5000,2685022,0.0126,0.0155000000000000,0.0640,0.0323,3655.5779
2025-09-08T15:56:03.052,12.7,7353,707.1000,2708562,0.0123,0.0153000000000000,0.0643,0.0324,3830.5218
2025-09-08T16:08:01.057,12.7,7354,717.9000,2562248,0.0135,0.0150000000000000,0.0661,0.0336,3569.0876
2025-09-08T16:19:33.171,12.7,7355,692.4000,2566784,0.0128,0.0156000000000000,0.0600,0.0296,3707.0826
2025-09-08T16:32:31.850,12.7,7356,778.6000,2727946,0.0117,0.0155000000000000,0.0625,0.0312,3503.6553
2025-09-08T16:44:44.221,12.7,7357,732.7000,2656129,0.0145,0.0153000000000000,0.0671,0.0343,3625.1249
2025-09-08T16:57:02.352,12.7,7358,737.0000,2680751,0.0135,0.0152000000000000,0.0676,0.0346,3637.3826
2025-09-08T17:09:36.305,12.7,7359,754.3000,2713872,0.0124,0.0150000000000000,0.0662,0.0337,3597.8682
2025-09-08T17:21:56.156,12.7,7360,740.1000,2711760,0.0115,0.0157000000000000,0.0606,0.0300,3664.0454
2025-09-08T17:33:54.000,12.7,7361,718.0000,2712810,0.0118,0.0155000000000000,0.0637,0.0320,3778.2869
2025-09-08T17:46:32.425,12.7,7362,759.5000,2695791,0.0126,0.0153000000000000,0.0653,0.0331,3549.4286
2025-09-08T17:59:08.723,12.7,7363,756.0000,2658436,0.0145,0.0152000000000000,0.0673,0.0345,3516.4497
