Time,QBER,SecureKeyRate(bps)
2024-06-19T11:19:13,0.029400,382262
2024-06-19T12:23:04,0.030700,331105
2024-06-19T13:24:02,0.030700,345232
2024-06-19T13:25:24,0.029800,372485
2024-06-19T13:26:45,0.031300,358270
2024-06-19T13:28:09,0.032400,336084
2024-06-19T13:29:33,0.031100,348780
2024-06-19T13:30:55,0.031200,349091
2024-06-19T13:32:18,0.031000,350086
2024-06-19T13:33:41,0.032100,333305
2024-06-19T13:35:02,0.030700,357772
2024-06-19T13:36:25,0.030000,353173
2024-06-19T13:37:49,0.032500,332117
2024-06-19T13:39:11,0.031900,346820
2024-06-19T13:40:33,0.033300,324919
2024-06-19T13:41:56,0.031800,333479
2024-06-19T13:43:18,0.031400,348221
2024-06-19T13:44:41,0.030600,356704
2024-06-19T13:46:04,0.032800,328134
2024-06-19T13:47:25,0.032000,342408
2024-06-19T13:48:47,0.031400,353302
2024-06-19T13:50:11,0.031400,346112
2024-06-19T13:51:32,0.032100,353670
2024-06-19T13:52:55,0.032300,341102
2024-06-19T13:54:18,0.032200,345498
2024-06-19T13:55:40,0.032100,348025
2024-06-19T13:57:04,0.032000,343508
2024-06-19T13:58:26,0.031700,344434
2024-06-19T13:59:49,0.031100,348780
2024-06-19T14:01:10,0.031000,354359
2024-06-19T14:02:34,0.030800,350700
2024-06-19T14:03:56,0.031300,352623
2024-06-19T14:05:19,0.031400,343557
2024-06-19T14:06:41,0.033100,346468
2024-06-19T14:08:03,0.031800,341812
2024-06-19T14:09:25,0.032400,346866
2024-06-19T14:10:50,0.031700,334250
2024-06-19T14:12:13,0.032500,337175
2024-06-19T14:13:34,0.031300,355408
2024-06-19T14:14:55,0.030800,367775
2024-06-19T14:16:18,0.032000,342821
2024-06-19T14:17:39,0.031500,348810
2024-06-19T14:19:02,0.031400,353560
2024-06-19T14:20:26,0.031300,342336
2024-06-19T14:21:46,0.032400,354766
2024-06-19T14:23:08,0.031400,356947
2024-06-19T14:24:31,0.031400,351755
2024-06-19T14:25:53,0.031800,350356
2024-06-19T14:27:16,0.032700,331104
2024-06-19T14:28:38,0.031600,350851
2024-06-19T14:30:01,0.031900,342901
2024-06-19T14:31:23,0.032000,340823
2024-06-19T14:32:46,0.033400,325714
2024-06-19T14:34:09,0.031700,344027
2024-06-19T14:35:32,0.031700,347235
2024-06-19T14:36:54,0.031500,348158
2024-06-19T14:38:16,0.030900,363302
2024-06-19T14:39:39,0.031600,344302
2024-06-19T14:41:02,0.031700,338355
2024-06-19T14:42:25,0.032300,343917
2024-06-19T14:43:46,0.031400,356666
2024-06-19T14:45:09,0.031200,345132
2024-06-19T14:46:32,0.030600,348611
2024-06-19T14:47:54,0.030500,357200
2024-06-19T14:49:18,0.031500,339244
2024-06-19T14:50:41,0.030500,351296
2024-06-19T14:52:04,0.032400,334462
2024-06-19T14:53:27,0.031900,345376
2024-06-19T14:54:49,0.032000,349102
2024-06-19T14:56:13,0.031600,341178
2024-06-19T14:57:35,0.030500,368851
2024-06-19T14:58:59,0.031400,343138
2024-06-19T15:00:22,0.031900,339761
2024-06-19T15:01:44,0.032300,342362
2024-06-19T15:03:07,0.032700,332264
2024-06-19T15:04:30,0.032900,335047
2024-06-19T15:05:53,0.031300,360059
2024-06-19T15:07:15,0.032700,334510
2024-06-19T15:08:39,0.031700,346215
2024-06-19T15:10:02,0.032400,333554
2024-06-19T15:11:25,0.031500,348614
2024-06-19T15:12:48,0.032100,346831
2024-06-19T15:14:12,0.032200,338246
2024-06-19T15:15:35,0.032100,332581
2024-06-19T15:16:58,0.031300,350331
2024-06-19T15:18:21,0.030200,359273
2024-06-19T15:19:44,0.030100,353149
2024-06-19T15:21:08,0.031500,344098
2024-06-19T15:21:41,0.000000,0
